movie#,title,year,synopsis,critic_score,people_score,consensus,type,genre,director,producer,writer,theater_release,streaming_release,box_office_gross($M),production_co,score_differential
978,Dave Chappelle's Block Party,2005,"Actor, writer and comic Dave Chappelle loads up a bus with residents of his Ohio hometown and takes them to Brooklyn, N.Y. Once there, the travelers enjoy a concert featuring Kanye West, the Fugees, Big Daddy Kane and others. Rehearsal footage and Chappelle's brand of comedy enliven the proceedings.",92.0,74.0,"Dave Chappelle's Block Party is a raucous return to the spotlight for the comic, buoyed by witty, infectious humor and outstanding musical performances.",Musical & Performing Arts,"comedy, documentary, music",Michel Gondry,"Dave Chappelle, Bob Yari, Michel Gondry",Dave Chappelle,"Mar 3, 2006 wide","Aug 26, 2015",11.7,"Bob Yari Productions, Pilot Boy Productions",18.0
979,The Sapphires,2012,A would-be music promoter (Chris O'Dowd) sees something special in a girl group of four Australian singers and takes them to Vietnam to perform for American troops.,91.0,76.0,"While it's plenty predictable and sentimental, The Sapphires also has an irresistible feel-good vibe, winning music and charming performances to spare.",Musical & Performing Arts,"comedy, musical",Wayne Blair,"Rosemary Blight, Kylie de Fresne","Keith Thompson, Tony Briggs","Mar 22, 2013 limited","Apr 1, 2017",2.4,Goalpost Pictures,15.0
980,Tangled,2010,"When the kingdom's most-wanted bandit, Flynn Rider (Zachary Levi), hides in a convenient tower, he immediately becomes a captive of Rapunzel (Mandy Moore), the spire's longtime resident. Crowned with 70 feet of magical golden hair, she has been locked away for years and desperately wants freedom. The feisty teenager strikes a deal with Flynn, and together they begin a whirlwind adventure.",89.0,87.0,"While far from Disney's greatest film, Tangled is a visually stunning, thoroughly entertaining addition to the studio's classic animated canon.",Musical & Performing Arts,"musical, comedy, fantasy, animation, kids and family, adventure","Nathan Greno, Byron Howard",Roy Conli,Dan Fogelman,"Nov 24, 2010 wide","Nov 22, 2015",200.8,Walt Disney Animation,2.0
981,Florence Foster Jenkins,2016,"In the 1940s, New York socialite Florence Foster Jenkins (Meryl Streep) dreams of becoming a great opera singer. Unfortunately, her ambition far exceeds her talent. The voice Florence hears in her head is beautiful, but to everyone else it is quite lousy. Her husband St. Clair goes to extreme lengths to make sure his wife never finds out how awful she truly is. When Florence announces her plans for a concert at Carnegie Hall, St. Clair soon realizes that he's facing his greatest challenge yet.",87.0,68.0,"Florence Foster Jenkins makes poignant, crowd-pleasing dramedy out of its stranger-than-fiction tale -- and does its subject justice with a reliably terrific turn from star Meryl Streep.",Musical & Performing Arts,"comedy, drama, biography, music",Stephen Frears,"Michael Kuhn, Tracey Seaward",Nicholas Martin,"Aug 12, 2016 wide","Nov 30, 2016",27.4,Qwerty Films,19.0
982,Sing Your Song,2011,"Harry Belafonte rises to fame, becoming an acclaimed singer and actor, and working tenaciously throughout his career as a social activist.",95.0,79.0,Sing Your Song takes an absorbing -- if decidedly non-critical -- look at an incredible show business career and admirable public life.,Musical & Performing Arts,"music, documentary, biography",Susanne Rostock,"Gina Belafonte, Jim Brown, Michael Cohl, William Eigen, Julius R. Nasso",,"Jan 13, 2012 limited","Feb 15, 2017",0.047700000000000006,,16.0
983,The Filth and the Fury,2000,"Assembled from unseen archive footage, rare offcuts and masses of hilarious junk-culture detail from the pre-punk '70s, this inspired collage is as much passionate social history as rockumentary. Intercutting a touching, never-before-seen Sid Vicious interview with contemporary quotes from the surviving Pistols -- wittily filmed, like renegade villains, in silhouette -- Temple exposes the band's human side as never before.",95.0,88.0,"The Filth and the Fury is a complete and completely unabashed look at The Sex Pistols, shot in suitably propulsive punk fashion.",Musical & Performing Arts,documentary,Julien Temple,"Anita Camarata, Amanda Temple",,"Mar 29, 2000 wide","Nov 30, 2016",0.6066,"Sex Pistols Residuals, Channel 4 Television Corporation, Nitrate Film, Jersey Shore",7.0
984,Hedwig and the Angry Inch,2001,"A German emigrant living in a trailer in Kansas is the victim of a botched sex-change operation. Adapted from the critically acclaimed off-Broadway rock theater hit, ""Hedwig and the Angry Inch"" tells the story of the ""internationally ignored"" rock singer, Hedwig, and her search for stardom and love.",92.0,93.0,"Hedwig and the Angry Inch may very well be the next Rocky Horror midnight movie. It not only knows how to rock, but Hedwig's story has an emotional poignancy.",Musical & Performing Arts,"gay and lesbian, musical",John Cameron Mitchell,"Christine Vachon, Katie Roumel, Pamela Koffler",,"Jul 20, 2001 wide","Aug 10, 2016",3.0,"New Line Cinema, Killer Films",-1.0
985,Judy,2019,"Thirty years after starring in ""The Wizard of Oz,"" beloved actress and singer Judy Garland arrives in London to perform sold-out shows at the Talk of the Town nightclub. While there, she reminisces with friends and fans and begins a whirlwind romance with musician Mickey Deans, her soon-to-be fifth husband.",81.0,85.0,"Led by a deeply committed performance from Renée Zellweger, Judy captures the waning days of a beloved performer with clear-eyed compassion.",Musical & Performing Arts,"history, music, drama, biography",Rupert Goold,David Livingstone,Tom Edge,"Sep 27, 2019 wide","Sep 27, 2019",24.3,"Roadside Attractions, BBC Films",-4.0
987,My Architect,2003,"Director Nathaniel Kahn barely knew his father, but many throughout the world did. He was renowned architect Louis Kahn, who designed noteworthy buildings in California, Texas and even Bangladesh. Nathaniel explores his father's past, interviewing architects such as Frank O. Gehry, as well as members of the multiple families started by the philandering Louis. What emerges is a portrait of a brilliant but unreliable man whose creations, which are featured prominently in the film, still astound.",93.0,83.0,A moving and enlightening documentary about architect Louis Kahn.,Musical & Performing Arts,documentary,Nathaniel Kahn,Susan Rose Behr,,"Nov 11, 2003 wide","Mar 1, 2007",2.7,Louis Kahn Project Inc.,10.0
989,Every Little Step,2008,"Filmmakers James D. Stern and Adam Del Deo explore the genesis and legacy of the Broadway musical ""A Chorus Line."" Dancers struggle through auditions for a revival of the show, as Stern and Del Deo present interviews past and present with cast and crew, comparing the original production with the show's original incarnation.",92.0,88.0,"Fascinating and insightful, Every Little Step is a thoroughly engrossing behind the scenes look at Broadway performers.",Musical & Performing Arts,"music, documentary","Adam Del Deo, James D. Stern","Adam Del Deo, James D. Stern",,"Apr 17, 2009 limited","Apr 19, 2016",1.7,Endgame Entertainment,4.0
991,U2 3D,2007,"This concert film and its groundbreaking camerawork provide viewers with an immersive and unprecedented 3-D experience of the legendary Irish rockers' acclaimed ""Vertigo"" tour. U2 -- Bono, The Edge, Adam Clayton and Larry Mullen Jr. -- perform thrilling renditions of latter-day hits like ""Beautiful Day"" and classic songs from their rich back catalog, including ""Sunday Bloody Sunday,"" ""Pride,"" ""With or Without You"" and ""Where the Streets Have No Name.""",92.0,93.0,"3D transports the viewer to an intimate seat at a U2 performance, for an exhilarating musical experience at the price of a movie ticket.",Musical & Performing Arts,documentary,"Catherine Owens, Mark Pellington","Jon Shapiro, Peter Shapiro, John Modell, Catherine Owens",,"Feb 22, 2008 wide",,10.4,National Geographic Society,-1.0
993,Little Shop of Horrors,1986,"Meek flower shop assistant Seymour (Rick Moranis) pines for co-worker Audrey (Ellen Greene). During a total eclipse, he discovers an unusual plant he names Audrey II, which feeds only on human flesh and blood. The growing plant attracts a great deal of business for the previously struggling store. After Seymour feeds Audrey's boyfriend, Orin (Steve Martin), to the plant after Orin's accidental death, he must come up with more bodies for the increasingly bloodthirsty plant.",90.0,79.0,"Remixing Roger Corman's B-movie by way of the Off-Broadway musical, Little Shop of Horrors offers camp, horror and catchy tunes in equal measure -- plus some inspired cameos by the likes of Steve Martin and Bill Murray.",Musical & Performing Arts,"comedy, musical",Frank Oz,David Geffen,"Charles B. Griffith, Howard Ashman",,"Aug 15, 2008",36.5,Geffen Pictures,11.0
994,Sid & Nancy,1986,"Following their breakout success in England, flagship punk rock band the Sex Pistols venture out on their first U.S. tour. Temperamental bassist Sid Vicious (Gary Oldman) takes his troubled girlfriend, Nancy Spungen (Chloe Webb), along for the ride. Along the way, the couple's turbulent relationship strains the patience of bandmate Johnny Rotten (Andrew Schofield) and manager Malcolm McLaren (David Hayman), while plunging Sid and Nancy into the depths of drug addiction and co-dependency.",88.0,76.0,"Visceral, energetic, and often very sad, Sid and Nancy is also a surprisingly touching love story, and Gary Oldman is outstanding as the late punk rock icon Sid Vicious.",Musical & Performing Arts,"drama, history, biography",Alex Cox,Eric Fellner,"Alex Cox, Abbe Wool","Nov 7, 1986 wide","Aug 1, 2006",2.7,Initial Pictures,12.0
995,La Bamba,1987,"Los Angeles teenager Ritchie Valens (Lou Diamond Phillips) becomes an overnight rock 'n' roll success in 1958, thanks to a love ballad called ""Donna"" that he wrote for his girlfriend (Danielle von Zerneck) whose parents didn't want her to date a Latino boy. But as his star rises, Valens has conflicts with his jealous brother, Bob (Esai Morales), and becomes haunted by a recurring nightmare of a plane crash just as he begins his first national tour alongside Buddy Holly (Marshall Crenshaw).",91.0,78.0,"Elevated by a perceptive performance by a perfectly cast Lou Diamond Phillips, La Bamba distills its subject's creative energy -- and reflects his music's enduring appeal.",Musical & Performing Arts,"drama, biography",Luis Valdez,,,,"Jan 8, 2014",52.7,"Columbia Pictures Corporation, New Visions Pictures",13.0
996,Sweeney Todd: The Demon Barber of Fleet Street,2007,"Evil Judge Turpin (Alan Rickman) lusts for the beautiful wife of a London barber (Johnny Depp) and transports him to Australia for a crime he did not commit. Returning after 15 years and calling himself Sweeney Todd, the now-mad man vows revenge, applying his razor to unlucky customers and shuttling the bodies down to Mrs. Lovett (Helena Bonham Carter), who uses them in her meat-pie shop. Though many fall to his blade, he will not be satisfied until he slits Turpin's throat.",86.0,81.0,"Full of pith and Grand Guignol grossness, this macabre musical is perfectly helmed and highly entertaining. Tim Burton masterfully stages the musical in a way that will make you think he has done this many times before.",Musical & Performing Arts,"mystery and thriller, crime, musical, drama",Tim Burton,"Richard D. Zanuck, Walter F. Parkes, Laurie MacDonald, John Logan",John Logan,"Dec 21, 2007 wide","Aug 1, 2013",52.9,"Zanuck Company, Parkes/MacDonald",5.0
997,Chicago,2002,"Nightclub sensation Velma (Catherine Zeta-Jones) murders her philandering husband, and Chicago's slickest lawyer, Billy Flynn (Richard Gere), is set to defend her. But when Roxie (Renée Zellweger) also winds up in prison, Billy takes on her case as well -- turning her into a media circus of headlines. Neither woman will be outdone in their fight against each other and the public for fame and celebrity.",86.0,83.0,"A rousing and energetic adaptation of the Broadway musical, Chicago succeeds on the level pure spectacle, but provides a surprising level of depth and humor as well.",Musical & Performing Arts,"drama, musical",Rob Marshall,Martin Richards,Bill Condon,"Jan 24, 2003 wide","Apr 21, 2016",170.7,"Miramax, Storyline Entertainment, Producers Circle",3.0
